Rome_W_3_3_23.txt,cat_3_3_22.txt,gauchy_3_3_22.txt,Sev_Z_3_3_23.txt,trevisa_3_3_23_orig.txt,Val_S_3_3_23.txt
Qualiter construenda est nauis,Capítol xxiii En qual manera la nau deu ésser feta o edifficada,Icy declaire quant on doit faire les gallees de mer,Capitulo xxiij en que demuestra en qual manera se deue fazer la naue,,
et qualiter committendum nauale bellum,e en qual manera batayla naval o de mar deu ésser feta,comment on se doit combatre sur mer,e en qual manera se deue acometer la batalla della,,
et ad quae bella singula ordinantur Cap XXIII In hoc ultimo capitulo tractare volumus aliqua de nauali bello,e a què són ordonades quescunes batayles En aquest darrer capítol nós volem recomptar algunes coses de la batayla naval,et a queles choses toutes batailles doivent estre ordonnees en tempz et en lieu Darrain et XXIIe chapitre En ce darrain chapitre de toute ceste euvre nous dirons en brief aucunes choses ou enseignemens des battailles,e aque soñ ordenadas todas las batallas EN este capitulo muestra en qual manera se deue fazer la naue e en qual manera se deue acometer la batalla della e a que son ordenadas todas las batallas Ca muchas de las cosas sobredichas valen,Chapter XXIII In þis laste chapitre we wol trete som what of bataille of schippes,En este postrimero capitulo queremos tractar algunas cosas de la batalla de las naues
non tamen oportet circa hoc tantum insistere,emperò no cal estar tant envers açò,qu' on fait sur eaue car moult des choses,para saber en,but it nedeþ not to abyde longe þere aboute,·enpero non conuiene de nos de tener çerca esto tanto
quia multa quae dicta sunt in aliis generibus bellorum applicari poterunt ad naualem pugnam Circa hoc autem pugnandi genus primo videndum est qualiter fabricanda fit nauis nam nauis male fabricata,per tal com moltes coses qui són dites en les altres maneres de batayles poran ésser aplicades a la batayla naval envers aquesta manera de bataylar Primerament deu ésser vist en qual manera la nau degya ésser feta quar la nau edifficada o feta malament perex,que nous avons dit cy dessus des autres batailles y sont pourfitables Et pour ce qu' on ne se peult pas bien combatre sur eaue quant les vaisseaulz sont mauvaisement fais,como se ha de fazer la batalla de la mar E por ende no conuiene de mucho prolongar en fablando desta batalla Mas solamente nos conuiene de saber tres cosas La primera es en como se ha de fazer la naue para ser buena,for manye kynges þat ben iseid of oþere manere batailles mowe helpe in batailles in schippes And touchynge þat manere of figtynge first it is to wetynge how a schip scholde be maad For gif a schip is euel imaad,por que muchas cosas que dichas son en las otras maneras de las batallas se podran traer e ayuntar a esta lid de las naues · Mas çerca esta manera de lidiar primeramente es de veer en qual manera es de fazer la naue ca la naue mal fecha
ex modica impugnatione hostium de facili perit Sciendum ergo,per poca batayla de enamichs Donques deu hom saber,nous dirons premierement comment on doit faire les nefz,e rezia para la batalla Do conuiene de saber dos cosas,it is sone ilost by a litel asaillyng of enemyes Panne as Vigesius seith,por pequena batalla de los enemigos de ligero peresçe · Et pues que assi es conuiene de saber
quod secundum Vegetium,segons que diu Vegeti,et gallees,segund que dize Vegecio,it is to wetyng þat treen,que segunt que dize vegeçio
,,,La primera es,,
,que,,,,
ligna ex quibus construenda est nauis non sunt de quolibet tempore incidenda,·ls fusts dels quals és feta la nau no deuen ésser taylats en quescun temps,Vegece en l' Art de chevalerie dist,que la madera donde se ha de fazer la naue no se deue cortar en todo tienpo,and tymber of þe whiche a schip scholde be maad scholde not be ifeld in eche tyme of þe gere,que los maderos que se deue fazer la naue non son de taiar en qual si quier tienpo
Nam tempore Martii et Aprilis,quar en temps de març e d' april,que en march et en apvril,Ca en el março ni en el abril,For in March and in Auerel,·ca en el tienpo del março e del abril
in quo humor incipit in arboribus abundare,en lo qual comença habundar la humor en los arbres,quant les arbres commencent a avoir habondance de seve ou humeur,en que ha grand humor en los arboles,whan moche hemour is in treen,en que el humor comiença de abondar
non est bonum incidere arbores ex quibus fabricanda est nauis,no és bo taylar los arbres dels quals deu ésser feta la nau,on ne doit pas cueillier ne copper les arbres ou mairiens de quoy on doit faire les nefz,no se deue tajar la madera para la naue Mas deuese cortar en Julio,it is not good to feile treen of þe whiche a schip scholde be maad,e de cresçer en los arboles non es bueno de taiar los arboles de los quales deue ser fecha la naue
,,ains les doit on cueillier,,,
Sed tempore Iulii et Augusti vel aliquo alio tempore,mas en temps de juliol e d' agost,et taillier en temps d' aoust et de juynet,e en el Agosto o en aquel tiempo,But in Iule and in Agust oþer in som oþer tyme whanne þe humour in treen is fordryed,· Mas en el tienpo del iullio e del agosto
,,,,,o en algun otro tienpo
in quo humor arborum desiccatur ad huiusmodi fabricam incidenda sunt ligna,o encara en algun temps en lo qual la humor dels arbres sia seccada a aytal obra los fusts deuen ésser taylats,quant les humeurs des arbres commenchent a sechier,en que menos humidad ha en la madera e los arboles estan mas secos,it is good to feile treen of þe whiche a schip scholde be maad,por que los humores de los arboles se secan son de taiar los maderos
Rursus non statim incisis lignis est ex eis fabricanda nauis,Encara no tant tost com los fust són taylats deu ésser feta d' ells la nau,Et ne doit on pas faire les nefz si tost,Lo segundo es que cortados los maderos no se deue fazer la naue luego,Also a schip scholde not be made of treen anoon as þei ben ifeld,para esta façion de la naue ·Otrossi taiados los maderos non es luego de fazer la naue dellos
sed primo arbores sunt diuidendae per tabulas et per aliquod tempus dimittendae ut desiccari possint,mas primerament los arbres deuen ésser departits per taules o deu les hom lexar per algun temps per ço que pusquen ésser seccades,que les arbres sont tailliés ains les doit on fendre et en faire bonnes aisselles lesqueles on doit laissier sechier,Mas avn deuenlos dexar secar e despues aserrarlos en tablas e dexarlos grand tienpo a secar,but first treen scholde be isawed and imaad bordes þerof and abyde a certeyne tyme þat þei mowe drye,· Mas primero los arboles deuen ser serrados e partidos por tablas e por algun tienpo son de dexar que esten assi por que se puedan secar
Nam si ex lignis viridibus construatur nauis,quar si la nau és feta de fust verts,et sanchier; car se on faisoit les nefz de vert mairien,Ca si estando verdes se fiziesse la naue,and clynge For gif a schip is imaad of grene tymber,ca si la naue se faze de madera verde
quando naturalis eorum humor expirauerit,quan la humor lur natural serà fora crida,quant il avroit perdu le humeur naturele de luy,quando despues fuessen secos,whanne þe kynde humour passeþ and failleþ,quando el humor natural dellos se va e se seca
